GENE_ID WT1_0.bam WT2_0.bam WT1_15.bam WT2_15.bam WT1_30.bam WT2_30.bam WT1_60.bam WT2_60.bam
NM_001011874 0.000234381819243227 7.69917918186358e-05 0.000275367735930668 7.11419379407099e-05 0 0 0 6.8277908660207e-05
NM_001195662 0.00150788421744375 0.000891581414614788 0.000354313030203234 0.000549225903777989 0.000706863522258849 0.000754300542186464 0.000617314953862357 0.000263557594700512
NM_011283 0.00424863064751238 0 0.00249579042860198 0 0 0.00354220874951248 0 0
NM_011441 0 0 0 0 0 0 0 0
NM_001177658 0.934743504145234 0.971709551573614 0.602670938966364 0.812242995548636 0.260507840184611 0.199582782009405 0.717517552648334 0.607695447014725
NM_025300 0.934743504145234 0.971709551573614 0.602670938966364 0.812242995548636 0.260507840184611 0.199582782009405 0.717517552648334 0.607695447014725
NR_033530 0.934743504145234 0.971709551573614 0.602670938966364 0.812242995548636 0.260507840184611 0.199582782009405 0.717517552648334 0.607695447014725
NM_008866 0.872345387113447 0.948441828244256 0.745178781544166 0.785141837618998 0.351194285038783 0.43990543001154 0.456291948608262 0.428180622904829
NM_001159750 0.969524498263623 1.02717870412602 0.826133938108269 1.02108647778212 0.807431063993614 0.980792646917801 1.20855550401654 1.22361667438008
NM_011541 0.969524498263623 1.02717870412602 0.826133938108269 1.02108647778212 0.807431063993614 0.980792646917801 1.20855550401654 1.22361667438008
NM_001159751 0.985053742159816 1.04363141744055 0.83936644067915 1.03744160958228 0.820363995492072 0.996502377051344 1.22791339875522 1.24321580963239
NM_021374 0.000325035657041757 0.0006406233483824 0.000381874043239862 0.0020718202416268 0 0.00108396727679868 0.000332667073023858 0.000284058997935038
NM_001177795 0.000222173430164234 0.000437888839793137 0.000522048976715103 0.0014161628110444 0 0.000740930180596176 0.000454779548736778 0.000194164426495936
NM_133826 2.26485193478123 2.21597694609479 2.11656686853104 2.099216519152 2.47241156567124 2.46506937628059 2.6085293104945 3.16770804422263
NM_001204371 0 0 0 0 0 0 0 0
NM_011011 0 0 0 0 0 0 0 0
NM_010342 0 0 0 0 0 0 0 0
NM_009826 1.22092408592548 1.29996071200919 0.970848219244595 1.41655683989715 1.35662409594312 1.67634684610003 2.10842258213868 2.34933950502874
NM_001195732 0.00201720244974402 0.00198788495927107 0.00118497346187797 0 0.00236405224658509 0 0.00103228187448783 0
NM_001244693 1.88334981014399 1.72755067050789 1.54603023360695 2.01137187156808 1.69054722304909 2.05396298012451 2.21310514135573 2.22439580189128
NM_001244692 1.88334981014399 1.72755067050789 1.54603023360695 2.01137187156808 1.69054722304909 2.05396298012451 2.21310514135573 2.22439580189128
NR_045189 0.511754167011521 0.542220848990922 0.449009801963808 0.594172782672655 0.429030979548412 0.642271157937732 0.305997528153894 0.429358248398452
NR_045188 0.511754167011521 0.542220848990922 0.449009801963808 0.594172782672655 0.429030979548412 0.642271157937732 0.305997528153894 0.429358248398452
